KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested
Alexandra Bay,0.03,0.02,0.04,0.07,0.07,0.08,0.03,0.09,0.04,0.02,0.03,0.07,0.02,0.08,0.03,0.04,0.06,,0.03,0.02,0.04,0.07,0.07,0.08,0.03,0.09,0.04,0.02,0.03,0.07,0.02,0.08,0.03,0.04,0.06
Upington,0.03,0.04,0.05,0.08,0.08,0.09,0.03,0.07,0.06,0.07,0.03,0.09,0.03,0.09,0.06,0.07,0.06,,0.03,0.04,0.05,0.08,0.08,0.09,0.03,0.07,0.06,0.07,0.03,0.09,0.03,0.09,0.06,0.07,0.06
De Aar,0.02,0.02,0.04,0.08,0.08,0.09,0.03,0.08,0.05,0.06,0.01,0.08,0.04,0.08,0.04,0.06,0.05,,0.02,0.02,0.04,0.08,0.08,0.09,0.03,0.08,0.05,0.06,0.01,0.08,0.04,0.08,0.04,0.06,0.05
Bethlehem,0.04,0,0.01,0.05,0.05,0.06,0.01,0.06,0.03,0.04,0.04,0.05,0,0.06,0.02,0.03,0.04,,0.04,0,0.01,0.05,0.05,0.06,0.01,0.06,0.03,0.04,0.04,0.05,0,0.06,0.02,0.03,0.04
Mahikeng,0.02,0.04,0.03,0.05,0.05,0.06,0.01,0.06,0.05,0.04,0.05,0.07,0,0.06,0.03,0.04,0.04,,0.02,0.04,0.03,0.05,0.05,0.06,0.01,0.06,0.05,0.04,0.05,0.07,0,0.06,0.03,0.04,0.04
Irene,0.03,0.02,0.02,0.04,0.04,0.05,0,0.06,0.03,0.03,0.01,0.06,-0.02,0.05,0.02,0.03,0.03,,0.03,0.02,0.02,0.04,0.04,0.05,0,0.06,0.03,0.03,0.01,0.06,0.02,0.05,0.02,0.03,0.03
Pretoria,0.03,0.02,0.02,0.05,0.05,0.06,0.01,0.07,0.05,0.04,0.03,0.05,-0.01,0.06,0.02,0.02,0.04,,0.03,0.02,0.02,0.05,0.05,0.06,0.01,0.07,0.05,0.04,0.03,0.05,0.01,0.06,0.02,0.02,0.04
Thohoyandou,0.02,0.02,0.01,0.03,0.03,0.05,-0.01,0.06,0.02,-0.01,0.03,0.04,-0.03,0.04,0.01,0.01,0.02,,0.02,0.02,0.01,0.03,0.03,0.05,0.01,0.06,0.02,0.01,0.03,0.04,0.03,0.04,0.01,0.01,0.02
Nelspruit,0.03,0.03,0.03,0.05,0.06,0.07,0.02,0.08,0.04,0.03,0.08,0.06,0,0.06,0.02,0.03,0.05,,0.03,0.03,0.03,0.05,0.06,0.07,0.02,0.08,0.04,0.03,0.08,0.06,0,0.06,0.02,0.03,0.05
Durban,0.05,0.04,0.02,0.05,0.05,0.07,0.02,0.09,0.02,-0.01,0.08,0.05,-0.02,0.06,0.01,0.02,0.05,,0.05,0.04,0.02,0.05,0.05,0.07,0.02,0.09,0.02,0.01,0.08,0.05,0.02,0.06,0.01,0.02,0.05
