KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Alexandra Bay,0.02,0.02,0.02,0.03,0,0.05,0.06,0.01,0.01,0.06,-0.01,0.06,0.06,0.06,0.07,0.02,0.08,,0.02,0.02,0.02,0.03,0,0.05,0.06,0.01,0.01,0.06,0.01,0.06,0.06,0.06,0.07,0.02,0.08
Upington,0.01,0.03,0.05,0.06,0.03,0.09,0.09,0.06,0.05,0.1,0.02,0.09,0.07,0.07,0.08,0.03,0.07,,0.01,0.03,0.05,0.06,0.03,0.09,0.09,0.06,0.05,0.1,0.02,0.09,0.07,0.07,0.08,0.03,0.07
De Aar,0.01,0.01,0.03,0.04,-0.01,0.07,0.06,0.05,0.03,0.07,0,0.06,0.06,0.06,0.06,0.02,0.05,,0.01,0.01,0.03,0.04,0.01,0.07,0.06,0.05,0.03,0.07,0,0.06,0.06,0.06,0.06,0.02,0.05
Bethlehem,0.01,-0.02,-0.01,0,0.02,0.03,0.05,0.02,0,0.03,-0.05,0.03,0.01,0.01,0.02,-0.03,0.01,,0.01,0.02,0.01,0,0.02,0.03,0.05,0.02,0,0.03,0.05,0.03,0.01,0.01,0.02,0.03,0.01
Mahikeng,0,0.02,0.03,0.04,0.05,0.07,0.07,0.05,0.03,0.07,-0.02,0.06,0.04,0.04,0.05,0,0.04,,0,0.02,0.03,0.04,0.05,0.07,0.07,0.05,0.03,0.07,0.02,0.06,0.04,0.04,0.05,0,0.04
Irene,0,-0.01,0,0.01,-0.02,0.05,0.05,0.02,0.01,0.05,-0.06,0.03,0.02,0.02,0.03,-0.02,0.03,,0,0.01,0,0.01,0.02,0.05,0.05,0.02,0.01,0.05,0.06,0.03,0.02,0.02,0.03,0.02,0.03
Pretoria,0,-0.01,-0.01,0.01,0,0.04,0.06,0.03,0.01,0.04,-0.05,0.04,0.03,0.03,0.03,-0.01,0.04,,0,0.01,0.01,0.01,0,0.04,0.06,0.03,0.01,0.04,0.05,0.04,0.03,0.03,0.03,0.01,0.04
Thohoyandou,0,-0.01,-0.02,-0.01,0,0.03,0.04,-0.02,-0.02,0.03,-0.06,0.02,0.01,0.01,0.01,-0.03,0.02,,0,0.01,0.02,0.01,0,0.03,0.04,0.02,0.02,0.03,0.06,0.02,0.01,0.01,0.01,0.03,0.02
Nelspruit,0,0,0,0.01,0.04,-0.06,0.05,0.01,0,0.04,-0.05,0.03,0.01,0.01,0.01,-0.03,0.02,,0,0,0,0.01,0.04,0.06,0.05,0.01,0,0.04,0.05,0.03,0.01,0.01,0.01,0.03,0.02
Durban,0.02,0.01,-0.02,0,0.02,0.03,0.05,-0.02,-0.01,0.03,-0.07,0.02,0.02,0.02,0.03,-0.02,0.04,,0.02,0.01,0.02,0,0.02,0.03,0.05,0.02,0.01,0.03,0.07,0.02,0.02,0.02,0.03,0.02,0.04
Mthatha,0.01,0.03,0.01,0.02,0.02,0.06,0.08,0.02,0.01,0.06,-0.04,0.05,0.04,0.04,0.04,0,0.05,,0.01,0.03,0.01,0.02,0.02,0.06,0.08,0.02,0.01,0.06,0.04,0.05,0.04,0.04,0.04,0,0.05
George,0.01,-0.01,-0.01,0,0,0.03,0.04,0,-0.02,0.03,-0.05,0.03,0.02,0.02,0.02,-0.02,0.02,,0.01,0.01,0.01,0,0,0.03,0.04,0,0.02,0.03,0.05,0.03,0.02,0.02,0.02,0.02,0.02
Stellenboch,0,0.01,0.01,0.02,0.01,0.05,0.06,0.01,0,0.06,-0.02,0.05,0.05,0.05,0.05,0.01,0.06,,0,0.01,0.01,0.02,0.01,0.05,0.06,0.01,0,0.06,0.02,0.05,0.05,0.05,0.05,0.01,0.06
Cape Point,0.01,0.01,-0.01,0.01,-0.01,0.04,0.04,0.02,-0.02,0.03,-0.03,0.03,0,0,0,-0.04,-0.01,,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0,0,0,0.04,0.01
,,,,,,,,,,,,,,,,,,,0.007,0.014,0.016,0.019,0.016,0.05,0.057,0.024,0.016,0.05,0.038,0.043,0.031,0.031,0.036,0.02,0.039
rMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,6.75,6.75,6.23,9.95,1.69,17.99,24.05,5.59,3.57,24.02,-2,24.73,24.5,24.72,27.43,8.27,30.57,,,,,,,,,,,,,,,,,,
Upington,5.88,-1.95,21.02,27.86,11.47,38.12,37.46,27.41,20.08,40.56,7.42,37.18,30.25,30.42,33.45,12.64,29.2,,,,,,,,,,,,,,,,,,
De Aar,2.09,2.09,10.16,16.18,-3.36,25.73,22.55,19.49,9.99,27.52,-0.16,23.91,21.78,21.92,24.44,6.42,19.96,,,,,,,,,,,,,,,,,,
Bethlehem,1.37,-5.9,-3.03,0.25,4.72,8.05,12.01,4.94,-0.32,7.72,-12.09,6.99,3.06,3.17,3.94,-6.83,3.28,,,,,,,,,,,,,,,,,,
Mahikeng,0.8,-2.48,7.53,11.77,14.39,19.3,20.39,13.34,9.12,19.91,-5.33,17.44,12.08,12.2,13.26,0.33,12.43,,,,,,,,,,,,,,,,,,
Irene,-1.16,-2.48,-1.13,3.76,-6.95,13.78,14.56,7.08,2.06,13.36,-16.93,8.13,6.64,6.79,8.32,-4.87,8.33,,,,,,,,,,,,,,,,,,
Pretoria,-0.14,-2.75,-1.19,2.53,0.78,10.79,15.57,7.2,3.3,10.79,-12.02,9.23,7.42,7.55,8.25,-2.53,9.14,,,,,,,,,,,,,,,,,,
Thohoyandou,-0.99,-2.05,-3.97,-1.31,0.71,6.01,8.89,-3.27,-3.93,5.94,-13.69,3.59,2.38,2.49,2.72,-5.48,3.34,,,,,,,,,,,,,,,,,,
Nelspruit,0.26,0.72,-0.51,1.7,7.44,-10.38,9.38,1.83,-0.2,6.75,-9.43,5.76,2.47,2.56,2.02,-4.84,2.85,,,,,,,,,,,,,,,,,,
Durban,4.99,1.47,-4.47,-0.68,4.43,6.7,12.14,-4.09,-2.99,6.75,-15.23,5.68,5.52,5.65,6.2,-3.33,8.58,,,,,,,,,,,,,,,,,,
Mthatha,3.75,9.78,2.95,7.18,7.14,18.09,25.65,5.9,2.28,17.46,-11.38,15.92,11.62,11.79,13.49,0.46,16,,,,,,,,,,,,,,,,,,
George,1.37,-1.44,-2.68,0.61,0.51,7.1,8.79,-0.96,-4.76,7.28,-9.79,5.84,3.8,3.91,3.82,-4.29,4.68,,,,,,,,,,,,,,,,,,
Stellenboch,-0.63,3.96,2.49,6.15,1.99,14.1,17.83,2.44,-0.1,15.88,-4.93,14.51,13.16,13.31,14.25,2.59,15.82,,,,,,,,,,,,,,,,,,
Cape Point,1.3,1.27,-1.3,1.87,-1.5,8.16,8.82,3.27,-3.12,6.9,-7.3,6.34,0,0.07,0.04,-8.11,-2.29,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.053,0.053,0.06,0.061,0.06,0.066,0.08,0.057,0.065,0.084,0.066,0.091,0.099,0.099,0.107,0.073,0.116,,,,,,,,,,,,,,,,,,
Upington,0.06,0.072,0.083,0.1,0.07,0.11,0.11,0.09,0.09,0.12,0.09,0.12,0.11,0.11,0.12,0.08,0.12,,,,,,,,,,,,,,,,,,
De Aar,0.06,0.061,0.071,0.08,0.07,0.09,0.08,0.08,0.08,0.1,0.08,0.1,0.11,0.11,0.12,0.08,0.11,,,,,,,,,,,,,,,,,,
Bethlehem,0.088,0.09,0.083,0.089,0.09,0.087,0.101,0.088,0.092,0.099,0.115,0.107,0.113,0.113,0.117,0.106,0.126,,,,,,,,,,,,,,,,,,
Mahikeng,0.067,0.078,0.079,0.09,0.092,0.094,0.1,0.09,0.094,0.101,0.096,0.104,0.102,0.103,0.109,0.091,0.114,,,,,,,,,,,,,,,,,,
Irene,0.085,0.085,0.084,0.091,0.1,0.093,0.091,0.09,0.092,0.1,0.109,0.096,0.106,0.106,0.109,0.099,0.117,,,,,,,,,,,,,,,,,,
Pretoria,0.069,0.07,0.068,0.075,0.077,0.076,0.09,0.081,0.084,0.086,0.102,0.092,0.102,0.103,0.107,0.096,0.118,,,,,,,,,,,,,,,,,,
Thohoyandou,0.064,0.067,0.066,0.067,0.064,0.066,0.076,0.069,0.076,0.075,0.103,0.08,0.094,0.094,0.1,0.092,0.111,,,,,,,,,,,,,,,,,,
Nelspruit,0.07,0.069,0.069,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.1,0.08,0.09,0.09,0.1,0.09,0.11,,,,,,,,,,,,,,,,,,
Durban,0.08,0.072,0.07,0.07,0.09,0.07,0.09,0.07,0.08,0.08,0.11,0.09,0.1,0.1,0.11,0.1,0.12,,,,,,,,,,,,,,,,,,
Mthatha,0.08,0.093,0.084,0.09,0.09,0.09,0.12,0.08,0.1,0.11,0.11,0.12,0.12,0.12,0.13,0.11,0.14,,,,,,,,,,,,,,,,,,
George,0.065,0.066,0.067,0.068,0.068,0.064,0.075,0.064,0.073,0.078,0.092,0.085,0.098,0.098,0.106,0.093,0.116,,,,,,,,,,,,,,,,,,
Stellenboch,0.059,0.066,0.067,0.07,0.062,0.073,0.09,0.066,0.074,0.089,0.087,0.097,0.107,0.107,0.114,0.092,0.125,,,,,,,,,,,,,,,,,,
Cape Point,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.07,0.073,0.074,0.079,0.078,0.081,0.091,0.078,0.084,0.092,0.097,0.097,0.104,0.104,0.111,0.092,0.117,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site ,,National-Climate,,Climate-Site ,,,,,,,,,,,,
Alexandra Bay,21.04,21.04,23.84,24.238,24.094,26.319,31.919,22.998,25.85,33.452,26.326,36.415,39.581,39.732,42.732,29.387,46.597,,3,,3,,0,,,,,,,,,,,,
Upington,26.68,30.92,35.6,41.14,31.52,45.08,45.18,39.16,36.81,49.4,37.13,49.07,46.94,47.04,49.93,36.14,48.9,,9,,5,,4,,,,,,,,,,,,
De Aar,23.22,23.22,26.9,30.43,25.69,33.47,31.12,31.53,28.64,38.05,31.97,37.75,40.72,40.8,43.46,31.73,42.78,,4,,4,,0,,,,,,,,,,,,
Bethlehem,22.19,22.5,20.85,22.382,22.835,22.025,25.437,22.273,23.312,25.08,29.087,26.978,28.479,28.513,29.648,26.827,31.717,,-1,,-2,,0,,,,,,,,,,,,
Mahikeng,19.3,22.59,22.89,25.875,26.572,27.052,28.761,25.93,26.941,29.081,27.674,29.825,29.513,29.565,31.313,26.153,32.718,,4,,0,,3,,,,,,,,,,,,
Irene,24.97,24.84,24.61,26.747,29.344,27.064,26.607,26.19,26.968,29.114,31.937,28.118,31.058,31.107,31.777,29.083,34.278,,0,,0,,0,,,,,,,,,,,,
Pretoria,17.61,17.81,17.34,18.977,19.594,19.333,22.983,20.58,21.326,21.945,25.858,23.444,26.08,26.131,27.275,24.406,30.046,,0,,0,,0,,,,,,,,,,,,
Thohoyandou,14.27,14.78,14.7,14.8,14.191,14.516,16.868,15.252,16.768,16.633,22.853,17.822,20.879,20.917,22.057,20.44,24.592,,0,,0,,1,,,,,,,,,,,,
Nelspruit,12.76,13.1,13.01,13.86,16.14,15.82,15.16,13.77,15.46,14.74,18.81,15.62,16.8,16.83,18.48,17.22,20.26,,0,,0,,0,,,,,,,,,,,,
Durban,17.3,16.22,15.65,16.2,20.26,15.96,19.86,15.88,17.72,18.78,23.66,19.99,23.45,23.5,24.74,22.31,26.9,,-2,,-1,,-1,,,,,,,,,,,,
Mthatha,25.86,28.28,25.7,26.77,27.3,27.28,34.98,26.09,29.22,32.48,33.86,35.22,37.02,37.11,38.37,33.04,42.77,,0,,-3,,2,,,,,,,,,,,,
George,14.1,14.19,14.45,14.637,14.744,13.822,16.151,13.887,15.859,16.914,19.866,18.44,21.213,21.248,23.032,20.196,25.008,,0,,0,,0,,,,,,,,,,,,
Stellenboch,16.52,18.55,18.81,19.698,17.566,20.702,25.422,18.694,20.734,25.051,24.484,27.391,30.045,30.124,32.014,25.98,35.299,,2,,0,,2,,,,,,,,,,,,
Cape Point,16.93,17.05,17.24,17.9,16.96,17.85,18.97,18.27,18.65,18.86,21.99,20.19,20.36,20.36,20.41,19.86,20.34,,0,,0,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,20,21,22,22,23,26,22,23,26,27,28,29,29,31,26,33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.085,0.085,0.088,0.092,0.092,0.103,0.111,0.086,0.096,0.108,0.113,0.11,0.127,0.127,0.131,0.112,0.141,,,,,,,,,,,,,,,,,,
Upington,0.1,0.108,0.116,0.14,0.11,0.16,0.16,0.13,0.11,0.15,0.14,0.15,0.15,0.15,0.15,0.13,0.15,,,,,,,,,,,,,,,,,,
De Aar,0.1,0.104,0.113,0.13,0.12,0.14,0.12,0.12,0.11,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.15,,,,,,,,,,,,,,,,,,
Bethlehem,0.124,0.13,0.126,0.135,0.127,0.131,0.145,0.125,0.131,0.141,0.176,0.145,0.154,0.154,0.153,0.201,0.164,,,,,,,,,,,,,,,,,,
Mahikeng,0.102,0.111,0.116,0.137,0.128,0.15,0.16,0.129,0.126,0.147,0.157,0.148,0.148,0.148,0.148,0.186,0.155,,,,,,,,,,,,,,,,,,
Irene,0.12,0.12,0.12,0.131,0.164,0.134,0.134,0.125,0.129,0.138,0.167,0.132,0.146,0.146,0.145,0.145,0.154,,,,,,,,,,,,,,,,,,
Pretoria,0.102,0.104,0.103,0.114,0.118,0.117,0.131,0.113,0.117,0.122,0.155,0.124,0.139,0.139,0.139,0.135,0.149,,,,,,,,,,,,,,,,,,
Thohoyandou,0.103,0.106,0.106,0.109,0.102,0.103,0.118,0.106,0.116,0.114,0.168,0.118,0.138,0.138,0.137,0.138,0.148,,,,,,,,,,,,,,,,,,
Nelspruit,0.1,0.107,0.107,0.12,0.12,0.12,0.14,0.11,0.12,0.12,0.17,0.13,0.13,0.13,0.14,0.24,0.14,,,,,,,,,,,,,,,,,,
Durban,0.11,0.106,0.109,0.11,0.13,0.11,0.13,0.11,0.12,0.12,0.17,0.12,0.14,0.14,0.14,0.25,0.15,,,,,,,,,,,,,,,,,,
Mthatha,0.12,0.125,0.12,0.13,0.12,0.13,0.15,0.12,0.13,0.14,0.17,0.14,0.16,0.16,0.16,0.18,0.17,,,,,,,,,,,,,,,,,,
George,0.103,0.104,0.105,0.108,0.105,0.104,0.112,0.102,0.114,0.115,0.155,0.119,0.136,0.136,0.138,0.136,0.148,,,,,,,,,,,,,,,,,,
Stellenboch,0.097,0.098,0.099,0.105,0.097,0.112,0.131,0.1,0.109,0.119,0.138,0.126,0.141,0.141,0.143,0.132,0.155,,,,,,,,,,,,,,,,,,
Cape Point,0.12,0.126,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.17,0.14,0.14,0.14,0.14,0.15,0.14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.106,0.11,0.111,0.122,0.119,0.125,0.134,0.115,0.118,0.13,0.156,0.131,0.142,0.142,0.143,0.163,0.151,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,,,,,,,,,,,
Alexandra Bay,33.82,33.82,35.4,36.94,36.69,41.31,44.5,34.48,38.45,43.39,45.2,44.18,50.77,50.89,52.4,44.94,56.39,,2,,2,,0,,,,,,,,,,,,
Upington,40.88,46.12,49.35,59.06,48.11,66.53,69.46,53.8,48.49,65.92,58.55,64.89,63.24,63.34,64.25,56.31,65.32,,8,,3,,5,,,,,,,,,,,,
De Aar,39.27,39.27,42.77,47.94,47.44,51.99,47.34,44.48,42.24,52.95,50.71,48.81,53.19,53.25,54.5,52.22,55.59,,4,,4,,0,,,,,,,,,,,,
Bethlehem,31.37,33.41,31.93,34.17,32.03,33.19,36.72,31.5,33.02,35.49,44.49,36.56,38.91,38.93,38.76,50.81,41.44,,1,,-1,,2,,,,,,,,,,,,
Mahikeng,29.44,32.02,33.41,39.41,36.96,43.25,46.17,37.1,36.31,42.26,45.19,42.75,42.49,42.53,42.65,53.71,44.55,,4,,1,,3,,,,,,,,,,,,
Irene,35.01,35.18,35.08,38.4,47.99,39.09,39.33,36.67,37.61,40.23,48.91,38.69,42.76,42.79,42.32,42.5,44.92,,0,,0,,0,,,,,,,,,,,,
Pretoria,26.01,26.53,26.28,28.93,30.07,29.71,33.31,28.76,29.75,30.96,39.58,31.46,35.46,35.5,35.37,34.49,38,,0,,0,,1,,,,,,,,,,,,
Thohoyandou,22.75,23.4,23.48,24.05,22.56,22.92,26.21,23.57,25.73,25.19,37.24,26.17,30.47,30.49,30.37,30.58,32.71,,1,,0,,1,,,,,,,,,,,,
Nelspruit,19.95,20.33,20.35,22.67,23.28,23.15,25.66,21.32,22.28,23.57,31.79,24.53,25.42,25.44,25.73,45.48,27.28,,0,,0,,0,,,,,,,,,,,,
Durban,24.28,23.82,24.46,25.26,28.73,24.86,28.28,24.69,26.68,26.6,38.97,27.59,32.31,32.34,32.43,56.22,34.22,,0,,1,,0,,,,,,,,,,,,
Mthatha,36.72,38.05,36.74,38.52,37.61,38.62,45.18,36.65,40.94,41.95,51.96,43.71,47.47,47.53,47.75,54.56,51.6,,0,,-1,,1,,,,,,,,,,,,
George,22.3,22.45,22.65,23.34,22.62,22.42,24.32,22.09,24.66,24.79,33.52,25.71,29.33,29.35,29.89,29.37,31.94,,0,,0,,0,,,,,,,,,,,,
Stellenboch,27.27,27.59,27.93,29.72,27.26,31.58,36.94,28.07,30.78,33.48,38.98,35.39,39.65,39.71,40.3,37.13,43.74,,1,,0,,0,,,,,,,,,,,,
Cape Point,25.33,26.82,26.94,28.73,26.74,28.83,30.62,26.77,28.32,28.72,35.88,29.68,30.11,30.1,29.82,31.34,30.45,,2,,0,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,31,31,34,33,36,38,32,33,37,43,37,40,40,40,44,43,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,,,,,,,,,,,
Alexandra Bay,0.884,0.884,0.873,0.862,0.864,0.827,0.8,0.88,0.85,0.809,0.793,0.802,0.739,0.738,0.722,0.796,0.678,,-0.01,,-0.01,,0,,,,,,,,,,,,
Upington,0.85,0.809,0.781,0.69,0.79,0.6,0.57,0.74,0.79,0.61,0.69,0.62,0.64,0.64,0.63,0.72,0.62,,-0.07,,-0.03,,-0.04,,,,,,,,,,,,
De Aar,0.87,0.866,0.841,0.8,0.8,0.77,0.81,0.83,0.84,0.76,0.78,0.79,0.76,0.75,0.74,0.76,0.73,,-0.03,,-0.03,,0,,,,,,,,,,,,
Bethlehem,0.853,0.83,0.847,0.825,0.846,0.835,0.798,0.851,0.837,0.811,0.704,0.8,0.773,0.773,0.775,0.613,0.743,,-0.01,,0.02,,-0.02,,,,,,,,,,,,
Mahikeng,0.895,0.875,0.864,0.811,0.834,0.773,0.741,0.833,0.84,0.783,0.752,0.778,0.78,0.78,0.779,0.649,0.759,,-0.03,,-0.01,,-0.02,,,,,,,,,,,,
Irene,0.795,0.793,0.794,0.754,0.615,0.745,0.742,0.775,0.764,0.73,0.6,0.75,0.695,0.694,0.701,0.698,0.663,,0,,0,,0,,,,,,,,,,,,
Pretoria,0.891,0.887,0.889,0.866,0.855,0.858,0.822,0.867,0.858,0.846,0.749,0.841,0.798,0.798,0.799,0.809,0.768,,0,,0,,0,,,,,,,,,,,,
Thohoyandou,0.907,0.902,0.901,0.897,0.909,0.906,0.877,0.901,0.882,0.886,0.752,0.877,0.834,0.834,0.835,0.833,0.809,,-0.01,,0,,-0.01,,,,,,,,,,,,
Nelspruit,0.92,0.918,0.918,0.9,0.89,0.89,0.87,0.91,0.9,0.89,0.8,0.88,0.87,0.87,0.87,0.59,0.85,,0,,0,,0,,,,,,,,,,,,
Durban,0.89,0.891,0.885,0.88,0.84,0.88,0.85,0.88,0.86,0.86,0.71,0.85,0.8,0.8,0.8,0.39,0.78,,-0.01,,-0.01,,0,,,,,,,,,,,,
Mthatha,0.81,0.798,0.798,0.79,0.8,0.79,0.72,0.81,0.77,0.75,0.62,0.73,0.68,0.68,0.68,0.58,0.63,,-0.01,,0,,-0.01,,,,,,,,,,,,
George,0.922,0.921,0.919,0.914,0.919,0.921,0.907,0.923,0.904,0.903,0.823,0.896,0.864,0.864,0.859,0.864,0.839,,0,,0,,0,,,,,,,,,,,,
Stellenboch,0.911,0.908,0.906,0.894,0.911,0.88,0.836,0.905,0.886,0.865,0.817,0.849,0.811,0.81,0.805,0.834,0.77,,-0.01,,0,,0,,,,,,,,,,,,
Cape Point,0.89,0.875,0.87,0.86,0.88,0.86,0.84,0.88,0.86,0.86,0.78,0.85,0.84,0.84,0.84,0.83,0.84,,-0.02,,-0.01,,-0.02,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.878,0.868,0.863,0.839,0.84,0.824,0.799,0.856,0.846,0.812,0.741,0.808,0.777,0.777,0.774,0.712,0.749,,,,,,,,,,,,,,,,,,
