KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,
Alexandra Bay,0,-0.02,-0.02,-0.01,-0.01,-0.04,-0.05,-0.04,-0.02,0,0,0,-0.02,0,-0.02,0,0,,0,0.02,0.02,0.01,0.01,0.04,0.05,0.04,0.02,0,0,0,0.02,0,0.02,0,0,
Upington,-0.02,-0.01,-0.01,-0.01,-0.01,-0.03,-0.04,-0.04,-0.01,0,0,0.01,-0.02,0,-0.01,0.01,0,,0.02,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.01,0,0,0.01,0.02,0,0.01,0.01,0,
De Aar,-0.04,-0.04,-0.01,-0.01,-0.01,-0.03,-0.04,-0.04,-0.01,0,0,0.01,-0.02,0.01,-0.01,0.01,0.01,,0.04,0.04,0.01,0.01,0.01,0.03,0.04,0.04,0.01,0,0,0.01,0.02,0.01,0.01,0.01,0.01,
Bethlehem,-0.01,-0.03,-0.01,-0.01,-0.01,-0.03,-0.04,-0.03,-0.01,0,0,0,-0.02,0,-0.01,0,0,,0.01,0.03,0.01,0.01,0.01,0.03,0.04,0.03,0.01,0,0,0,0.02,0,0.01,0,0,
Mahikeng,-0.02,-0.02,-0.01,-0.01,-0.01,-0.03,-0.04,-0.03,-0.01,0,0,0.01,-0.02,0.01,0,0.01,0,,0.02,0.02,0.01,0.01,0.01,0.03,0.04,0.03,0.01,0,0,0.01,0.02,0.01,0,0.01,0,
Irene,-0.01,-0.01,0,0.01,0.01,0,-0.03,-0.01,0.01,0.02,0.02,0.02,0,0.02,0.01,0.02,0.02,,0.01,0.01,0,0.01,0.01,0,0.03,0.01,0.01,0.02,0.02,0.02,0,0.02,0.01,0.02,0.02,
Pretoria,-0.02,-0.03,-0.02,-0.01,-0.01,-0.03,-0.05,-0.03,-0.01,0,0,0,-0.03,0,-0.01,0,0,,0.02,0.03,0.02,0.01,0.01,0.03,0.05,0.03,0.01,0,0,0,0.03,0,0.01,0,0,
Thohoyandou,-0.01,-0.01,-0.01,-0.01,-0.01,-0.03,-0.03,-0.03,-0.01,0,0,0,-0.02,0,-0.01,0,0,,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.01,0,0,0,0.02,0,0.01,0,0,
Nelspruit,-0.01,-0.01,-0.01,-0.01,-0.01,-0.03,-0.04,-0.03,-0.02,0,0,0,-0.03,0,-0.01,0,0,,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.03,0.02,0,0,0,0.03,0,0.01,0,0,
Durban,0,0,-0.01,0,0,-0.02,-0.04,-0.02,0,0,0,0,-0.01,0,-0.01,0,0,,0,0,0.01,0,0,0.02,0.04,0.02,0,0,0,0,0.01,0,0.01,0,0,
Mthatha,0,0.01,0,0.01,0.01,0,-0.03,-0.01,0,0.02,0.01,0.02,0,0.02,0,0.02,0.02,,0,0.01,0,0.01,0.01,0,0.03,0.01,0,0.02,0.01,0.02,0,0.02,0,0.02,0.02,
George,-0.01,-0.02,-0.02,-0.02,-0.02,-0.04,-0.04,-0.04,-0.01,0,0,0,-0.02,0,-0.02,0,-0.01,,0.01,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.01,0,0,0,0.02,0,0.02,0,0.01,
Stellenboch,-0.01,-0.01,-0.01,0,0,-0.02,-0.03,-0.02,0,0.01,0.01,0.01,-0.01,0.01,-0.01,0.01,0,,0.01,0.01,0.01,0,0,0.02,0.03,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,
Cape Point,0.02,0.03,0.03,0.03,0.03,0.01,0,0.01,0.03,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.04,,0.02,0.03,0.03,0.03,0.03,0.01,0,0.01,0.03,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.04,
,,,,,,,,,,,,,,,,,,,0.013,0.018,0.012,0.011,0.011,0.024,0.036,0.027,0.011,0.006,0.006,0.009,0.019,0.009,0.012,0.009,0.007,
rMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,,
Alexandra Bay,-0.34,-2.17,-2.49,-1.32,-1.3,-3.68,-4.82,-4.09,-1.5,-0.02,-0.12,0.08,-1.96,0.04,-1.65,0.21,-0.12,,,,,,,,,,,,,,,,,,,
Upington,-2.31,-0.86,-1.26,-1.04,-1.02,-3.27,-4.26,-3.58,-1.18,-0.05,-0.15,0.6,-1.98,0.55,-0.75,0.59,-0.03,,,,,,,,,,,,,,,,,,,
De Aar,-3.96,-3.96,-1.4,-0.8,-0.77,-3.15,-4.6,-3.64,-1.24,0.36,0.12,0.91,-2.04,0.86,-0.67,0.97,0.57,,,,,,,,,,,,,,,,,,,
Bethlehem,-1.45,-3.34,-0.9,-0.82,-0.8,-2.91,-4.08,-3.04,-1.19,0.12,0.09,0.52,-1.68,0.47,-0.67,0.54,0.04,,,,,,,,,,,,,,,,,,,
Mahikeng,-1.51,-1.52,-0.76,-0.78,-0.76,-2.92,-4.1,-3.17,-1.26,0.04,0.01,0.79,-2.58,0.72,-0.45,0.84,0.31,,,,,,,,,,,,,,,,,,,
Irene,-1.06,-1.14,-0.06,1.47,1.49,0.01,-2.88,-0.59,1.1,2.02,1.59,2.24,-0.33,2.25,0.64,2.25,1.92,,,,,,,,,,,,,,,,,,,
Pretoria,-2.03,-3.11,-2.04,-1.11,-1.09,-3.04,-4.66,-3.47,-1.18,-0.09,-0.2,0.08,-2.67,0.08,-1.4,0.22,-0.17,,,,,,,,,,,,,,,,,,,
