DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Alexandra Bay,17.672,12.781,28.292,48.562,48.903,55.623,17.654,59.143,33.347,19.386,21.923,45.377,12.63,56.392,25.412,24.557,35.697,,17.672,12.781,28.292,48.562,48.903,55.623,17.654,59.143,33.347,19.386,21.923,45.377,12.63,56.392,25.412,24.557,35.697
Upington,15.869,20.645,34.157,54.318,54.479,62.009,20.875,46.786,44.235,42.567,10.409,55.199,23.452,59.256,37.035,40.637,35.689,,15.869,20.645,34.157,54.318,54.479,62.009,20.875,46.786,44.235,42.567,10.409,55.199,23.452,59.256,37.035,40.637,35.689
De Aar,11.11,11.11,24.84,54.08,54.22,61.8,20.56,44.39,41.02,44.05,8.45,46.98,23.83,55.46,29.01,33.38,28.94,,11.11,11.11,24.84,54.08,54.22,61.8,20.56,44.39,41.02,44.05,8.45,46.98,23.83,55.46,29.01,33.38,28.94
Bethlehem,21.39,-1.95,6.66,28.94,29.18,36.07,-0.19,30.44,26.39,24.83,24.02,26.79,-0.76,35.02,7.56,12.61,18.55,,21.39,1.95,6.66,28.94,29.18,36.07,0.19,30.44,26.39,24.83,24.02,26.79,0.76,35.02,7.56,12.61,18.55
Mahikeng,18.841,25.308,22.007,35.83,36.079,43.28,4.544,38.411,39.825,32.821,38.969,41.138,2.75,44.055,22.009,25.327,26.836,,18.841,25.308,22.007,35.83,36.079,43.28,4.544,38.411,39.825,32.821,38.969,41.138,2.75,44.055,22.009,25.327,26.836
Irene,22.89,20.093,16.7,26.637,26.926,33.832,-3.005,33.246,33.276,27.452,8.027,37.972,-8.838,34.286,17.823,21.409,17.956,,22.89,20.093,16.7,26.637,26.926,33.832,3.005,33.246,33.276,27.452,8.027,37.972,8.838,34.286,17.823,21.409,17.956
Pretoria,19.733,17.919,14.919,31.764,32.101,39.149,3.561,43.448,41.964,34.341,20.188,34.126,-5.765,39.127,13.594,16.081,25.697,,19.733,17.919,14.919,31.764,32.101,39.149,3.561,43.448,41.964,34.341,20.188,34.126,5.765,39.127,13.594,16.081,25.697
Thohoyandou,16.604,17.188,9.304,22.195,22.56,29.348,-5.947,34.261,19.267,-3.361,19.331,28.419,-17.484,29.824,7.216,9.685,15.264,,16.604,17.188,9.304,22.195,22.56,29.348,5.947,34.261,19.267,3.361,19.331,28.419,17.484,29.824,7.216,9.685,15.264
Nelspruit,25.35,25.708,19.632,33.889,34.245,40.454,7.912,47.507,32.265,21.92,49.94,39.14,-2.563,41.808,18.133,21.457,30.126,,25.35,25.708,19.632,33.889,34.245,40.454,7.912,47.507,32.265,21.92,49.94,39.14,2.563,41.808,18.133,21.457,30.126
Durban,38.283,26.791,13.833,32.152,32.564,40.876,7.594,51.718,21.631,-5.633,51.306,32.451,-14.9,36.45,10.017,11.419,27.164,,38.283,26.791,13.833,32.152,32.564,40.876,7.594,51.718,21.631,5.633,51.306,32.451,14.9,36.45,10.017,11.419,27.164
Mthatha,27.596,38.399,28.638,46.284,46.641,52.592,22.991,61.217,37.172,27.069,37.022,46.471,13.311,54.685,26.436,28.654,45.412,,27.596,38.399,28.638,46.284,46.641,52.592,22.991,61.217,37.172,27.069,37.022,46.471,13.311,54.685,26.436,28.654,45.412
George,23.32,20.11,20.964,41.792,42.122,48.489,13.766,52.323,23.111,13.942,30.242,40.42,8.035,47.946,20.069,22.558,30.235,,23.32,20.11,20.964,41.792,42.122,48.489,13.766,52.323,23.111,13.942,30.242,40.42,8.035,47.946,20.069,22.558,30.235
Stellenboch,11.927,29.17,32.028,50.758,51.124,57.838,20.834,63.022,36.89,14.87,21.467,50.527,13.128,57.965,29.755,29.473,37.279,,11.927,29.17,32.028,50.758,51.124,57.838,20.834,63.022,36.89,14.87,21.467,50.527,13.128,57.965,29.755,29.473,37.279
Cape Point,24.263,10.304,6.195,30.904,31.018,38.404,0.052,16.999,23.707,32.804,15.664,28.722,3.52,33.99,10.847,17.734,12.318,,24.263,10.304,6.195,30.904,31.018,38.404,0.052,16.999,23.707,32.804,15.664,28.722,3.52,33.99,10.847,17.734,12.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMBE,,,,,,,,,,,,,,,,,,,21,20,20,38,39,46,11,44,32,25,25,40,11,45,20,22,28
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,22.305,16.132,35.709,61.294,61.723,70.205,22.283,74.649,42.089,24.469,27.671,57.273,15.941,71.176,32.075,30.995,45.056,,,,,,,,,,,,,,,,,,
Upington,25.28,32.889,54.414,86.532,86.788,98.784,33.256,74.533,70.469,67.812,16.581,87.935,37.361,94.398,58.999,64.737,56.854,,,,,,,,,,,,,,,,,,
De Aar,17.91,17.91,40.08,87.26,87.49,99.73,33.18,71.64,66.19,71.09,13.64,75.81,38.46,89.49,46.81,53.87,46.68,,,,,,,,,,,,,,,,,,
Bethlehem,24.61,-2.25,7.66,33.3,33.57,41.5,-0.21,35.02,30.36,28.57,27.63,30.82,-0.87,40.29,8.69,14.51,21.34,,,,,,,,,,,,,,,,,,
Mahikeng,22.237,29.869,25.973,42.287,42.581,51.08,5.363,45.333,47.003,38.736,45.992,48.552,3.245,51.994,25.975,29.891,31.672,,,,,,,,,,,,,,,,,,
Irene,23.919,20.996,17.45,27.834,28.135,35.352,-3.14,34.74,34.771,28.686,8.387,39.678,-9.236,35.826,18.624,22.371,18.763,,,,,,,,,,,,,,,,,,
Pretoria,20.761,18.852,15.695,33.418,33.773,41.187,3.747,45.71,44.149,36.13,21.24,35.903,-6.065,41.164,14.302,16.918,27.035,,,,,,,,,,,,,,,,,,
Thohoyandou,15.32,15.859,8.585,20.478,20.815,27.078,-5.487,31.612,17.777,-3.101,17.836,26.221,-16.132,27.518,6.658,8.936,14.084,,,,,,,,,,,,,,,,,,
Nelspruit,28.067,28.463,21.736,37.522,37.916,44.79,8.76,52.599,35.723,24.27,55.292,43.335,-2.838,46.289,20.077,23.757,33.355,,,,,,,,,,,,,,,,,,
Durban,36.115,25.273,13.049,30.332,30.72,38.561,7.164,48.789,20.406,-5.314,48.4,30.614,-14.056,34.386,9.45,10.773,25.626,,,,,,,,,,,,,,,,,,
Mthatha,38.06,52.96,39.498,63.835,64.328,72.536,31.709,84.431,51.267,37.334,51.06,64.093,18.359,75.422,36.46,39.519,62.632,,,,,,,,,,,,,,,,,,
George,29.267,25.238,26.31,52.45,52.863,60.855,17.276,65.666,29.004,17.498,37.955,50.728,10.084,60.173,25.187,28.311,37.945,,,,,,,,,,,,,,,,,,
Stellenboch,15.062,36.837,40.447,64.098,64.56,73.038,26.309,79.585,46.585,18.778,27.109,63.806,16.579,73.199,37.576,37.219,47.078,,,,,,,,,,,,,,,,,,
Cape Point,30.249,12.846,7.724,38.531,38.673,47.882,0.065,21.194,29.557,40.899,19.53,35.81,4.388,42.378,13.524,22.111,15.357,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,22.925,20.789,32.778,51.357,51.674,57.885,23.675,61.521,40.065,29.356,32.667,47.102,22.322,58.518,29.923,27.971,37.613,,,,,,,,,,,,,,,,,,
Upington,22.652,26.277,37.688,56.438,56.581,63.737,27.16,49.506,47.609,45.985,23.935,56.594,29.796,60.807,40.723,43.272,37.644,,,,,,,,,,,,,,,,,,
De Aar,21.18,21.18,32.71,60.47,60.6,67.73,29.97,52.66,48.38,50.48,22.05,52.6,34.59,61.38,36.35,39.64,35.27,,,,,,,,,,,,,,,,,,
Bethlehem,43.4,30.55,34,52.98,53.16,58.01,33.76,58,48.69,45.78,46.41,48.86,36.61,56.94,35.66,36.91,41.62,,,,,,,,,,,,,,,,,,
Mahikeng,30.594,35.018,32.891,44.048,44.219,49.885,24.144,46.354,50.529,42.662,45.274,46.402,26.143,49.923,34.474,34.908,33.528,,,,,,,,,,,,,,,,,,
Irene,37.182,35.552,33.973,36.152,36.31,41.477,24.2,40.795,46.882,40.178,26.456,44.708,27.306,40.49,36.366,37.708,28.213,,,,,,,,,,,,,,,,,,
Pretoria,28.362,28.006,26.163,39.155,39.407,44.891,23.196,50.243,50.866,42.046,28.576,38.49,26.357,44.436,26.632,26.529,30.334,,,,,,,,,,,,,,,,,,
Thohoyandou,29.156,30.773,27.145,34.011,34.285,38.769,22.311,47.417,39.079,28.566,27.386,34.85,27.793,38.71,25.959,26.005,24.434,,,,,,,,,,,,,,,,,,
Nelspruit,31.122,31.946,26.897,38.729,39.045,44.441,20.157,53.508,42.235,32.514,51.822,41.624,20.88,45.39,27.477,28.494,33.18,,,,,,,,,,,,,,,,,,
Durban,42.929,33.86,24.482,41.172,41.517,48.468,24.299,60.15,36.036,21.69,54.149,37.976,21.566,43.905,22.881,20.852,32.699,,,,,,,,,,,,,,,,,,
Mthatha,31.952,41.67,32.959,50.467,50.805,56.173,29.709,66.633,43.643,32.835,40.668,48.812,24.943,58.167,30.973,30.974,47.361,,,,,,,,,,,,,,,,,,
George,28.78,26.34,27.99,48.949,49.248,54.802,25.354,60.247,33.811,26.43,35.088,43.978,23.266,53.69,27.567,27.232,34.619,,,,,,,,,,,,,,,,,,
Stellenboch,19.911,32.791,35.782,54.612,54.959,61.161,28.318,67.599,43.002,30.676,27.9,52.477,24.832,60.977,34.025,32.803,40.504,,,,,,,,,,,,,,,,,,
Cape Point,32.545,25.077,25.795,40.489,40.546,46.42,23.088,31.242,33.369,39.909,26.775,36.489,21.785,41.805,27.519,29.176,26.358,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,30,31,46,47,52,26,53,43,36,35,45,26,51,31,32,35,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,28.935,26.239,41.372,64.822,65.221,73.061,29.882,77.65,50.569,37.052,41.231,59.451,28.174,73.86,37.768,35.304,47.474,,,,,,,,,,,,,,,,,,
