DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Alexandra Bay,-1.111,-3.049,-3.702,-3.21,-3.164,-6.412,-8.742,-7.547,-4.043,-1.042,-1.097,-0.261,-5.472,-0.408,-2.462,-0.107,-0.568,,1.111,3.049,3.702,3.21,3.164,6.412,8.742,7.547,4.043,1.042,1.097,0.261,5.472,0.408,2.462,0.107,0.568
Upington,-3.502,-1.78,-2.506,-3.287,-3.238,-6.587,-9.144,-7.852,-4.249,-2.052,-2.342,0.468,-7.577,0.284,-1.468,0.375,-0.668,,3.502,1.78,2.506,3.287,3.238,6.587,9.144,7.852,4.249,2.052,2.342,0.468,7.577,0.284,1.468,0.375,0.668
De Aar,-9.325,-9.325,-2.442,-3.358,-3.299,-7.04,-10.222,-8.682,-4.846,-1.455,-1.912,1.02,-8.172,0.801,-1.255,1.025,0.34,,9.325,9.325,2.442,3.358,3.299,7.04,10.222,8.682,4.846,1.455,1.912,1.02,8.172,0.801,1.255,1.025,0.34
Bethlehem,-3.329,-7.503,-2.312,-3.056,-3.019,-6.284,-8.017,-6.982,-4.483,-1.648,-1.733,-0.086,-6.614,-0.252,-1.776,-0.054,-0.714,,3.329,7.503,2.312,3.056,3.019,6.284,8.017,6.982,4.483,1.648,1.733,0.086,6.614,0.252,1.776,0.054,0.714
Mahikeng,-2.609,-3.519,-2.276,-3.417,-3.367,-7.055,-9.564,-8.226,-5.133,-2.277,-2.304,0.442,-10.265,0.221,-1.552,0.6,-0.197,,2.609,3.519,2.276,3.417,3.367,7.055,9.564,8.226,5.133,2.277,2.304,0.442,10.265,0.221,1.552,0.6,0.197
Irene,-2.415,-2.114,-0.948,-0.715,-0.676,-2.43,-5.056,-3.878,-1.547,-0.066,-0.416,1.844,-7.041,1.669,0.24,1.667,1.374,,2.415,2.114,0.948,0.715,0.676,2.43,5.056,3.878,1.547,0.066,0.416,1.844,7.041,1.669,0.24,1.667,1.374
Pretoria,-4.015,-4.614,-3.202,-3.28,-3.235,-5.872,-8.52,-7.258,-4.004,-1.853,-1.988,-0.199,-8.895,-0.358,-2.107,0.019,-0.41,,4.015,4.614,3.202,3.28,3.235,5.872,8.52,7.258,4.004,1.853,1.988,0.199,8.895,0.358,2.107,0.019,0.41
Thohoyandou,-1.408,-1.522,-2.057,-2.066,-2.042,-4.343,-5.516,-4.772,-2.497,-1.381,-1.32,-0.248,-5.678,-0.352,-1.624,-0.163,-0.625,,1.408,1.522,2.057,2.066,2.042,4.343,5.516,4.772,2.497,1.381,1.32,0.248,5.678,0.352,1.624,0.163,0.625
Nelspruit,-1.598,-1.823,-2.751,-3.336,-3.299,-6.738,-8.416,-7.372,-4.612,-2.189,-2.185,-0.458,-9.402,-0.652,-2.291,-0.317,-0.963,,1.598,1.823,2.751,3.336,3.299,6.738,8.416,7.372,4.612,2.189,2.185,0.458,9.402,0.652,2.291,0.317,0.963
Durban,-0.719,-1.17,-2.088,-1.649,-1.628,-3.349,-4.508,-3.839,-1.625,-0.574,-0.467,-0.26,-3.173,-0.334,-1.552,-0.081,-0.407,,0.719,1.17,2.088,1.649,1.628,3.349,4.508,3.839,1.625,0.574,0.467,0.26,3.173,0.334,1.552,0.081,0.407
Mthatha,-0.902,-0.418,-1.558,-1.218,-1.184,-2.218,-4.716,-3.681,-2.097,-0.459,-0.501,0.984,-4,0.882,-0.338,1.189,0.941,,0.902,0.418,1.558,1.218,1.184,2.218,4.716,3.681,2.097,0.459,0.501,0.984,4,0.882,0.338,1.189,0.941
George,-2.099,-2.939,-3.126,-3.232,-3.199,-6.279,-7.81,-6.871,-3.584,-1.527,-1.471,-0.735,-5.764,-0.87,-2.517,-0.553,-1.123,,2.099,2.939,3.126,3.232,3.199,6.279,7.81,6.871,3.584,1.527,1.471,0.735,5.764,0.87,2.517,0.553,1.123
Stellenboch,-1.571,-1.754,-2.052,-1.657,-1.628,-3.804,-5.337,-4.511,-1.833,-0.304,-0.318,0.282,-3.185,0.194,-1.25,0.364,0.025,,1.571,1.754,2.052,1.657,1.628,3.804,5.337,4.511,1.833,0.304,0.318,0.282,3.185,0.194,1.25,0.364,0.025
Cape Point,1.37,2.72,2.555,1.957,1.987,-0.681,-2.132,-1.275,1.678,3.446,3.349,4.512,1.484,4.399,3.099,4.577,4.025,,1.37,2.72,2.555,1.957,1.987,0.681,2.132,1.275,1.678,3.446,3.349,4.512,1.484,4.399,3.099,4.577,4.025
,,,,,,,,,,,,,,,,,,,2.570,3.161,2.398,2.531,2.498,4.935,6.979,5.910,3.302,1.448,1.529,0.843,6.194,0.834,1.681,0.792,0.884
rMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,-0.823,-2.259,-2.743,-2.378,-2.344,-4.75,-6.477,-5.591,-2.996,-0.772,-0.813,-0.194,-4.054,-0.303,-1.824,-0.079,-0.421,,,,,,,,,,,,,,,,,,
Upington,-2.451,-1.246,-1.753,-2.3,-2.265,-4.609,-6.398,-5.494,-2.973,-1.436,-1.638,0.327,-5.302,0.199,-1.027,0.262,-0.467,,,,,,,,,,,,,,,,,,
De Aar,-5.939,-5.939,-1.555,-2.139,-2.101,-4.484,-6.51,-5.529,-3.086,-0.927,-1.218,0.649,-5.205,0.51,-0.8,0.653,0.217,,,,,,,,,,,,,,,,,,
Bethlehem,-2.468,-5.564,-1.715,-2.266,-2.239,-4.66,-5.945,-5.177,-3.325,-1.222,-1.285,-0.064,-4.904,-0.187,-1.317,-0.04,-0.53,,,,,,,,,,,,,,,,,,
Mahikeng,-1.674,-2.258,-1.46,-2.192,-2.16,-4.527,-6.136,-5.278,-3.293,-1.461,-1.478,0.284,-6.586,0.142,-0.995,0.385,-0.126,,,,,,,,,,,,,,,,,,
Irene,-2.5,-2.188,-0.981,-0.739,-0.699,-2.515,-5.233,-4.014,-1.601,-0.069,-0.43,1.908,-7.287,1.727,0.249,1.726,1.422,,,,,,,,,,,,,,,,,,
Pretoria,-3.231,-3.712,-2.576,-2.639,-2.603,-4.724,-6.855,-5.839,-3.222,-1.491,-1.6,-0.16,-7.157,-0.288,-1.695,0.016,-0.33,,,,,,,,,,,,,,,,,,
Thohoyandou,-1.358,-1.469,-1.984,-1.992,-1.969,-4.189,-5.321,-4.603,-2.409,-1.332,-1.273,-0.239,-5.476,-0.34,-1.566,-0.157,-0.603,,,,,,,,,,,,,,,,,,
Nelspruit,-1.114,-1.271,-1.918,-2.325,-2.3,-4.697,-5.867,-5.139,-3.215,-1.526,-1.523,-0.319,-6.554,-0.455,-1.597,-0.221,-0.671,,,,,,,,,,,,,,,,,,
Durban,-0.862,-1.402,-2.503,-1.976,-1.951,-4.014,-5.403,-4.601,-1.948,-0.688,-0.56,-0.312,-3.803,-0.4,-1.861,-0.097,-0.488,,,,,,,,,,,,,,,,,,
Mthatha,-1.267,-0.587,-2.188,-1.71,-1.663,-3.115,-6.623,-5.169,-2.944,-0.645,-0.703,1.382,-5.617,1.239,-0.475,1.669,1.321,,,,,,,,,,,,,,,,,,
George,-1.638,-2.293,-2.439,-2.522,-2.496,-4.899,-6.093,-5.36,-2.796,-1.191,-1.148,-0.574,-4.497,-0.679,-1.964,-0.432,-0.876,,,,,,,,,,,,,,,,,,
Stellenboch,-1.605,-1.793,-2.097,-1.693,-1.664,-3.889,-5.455,-4.611,-1.874,-0.311,-0.325,0.288,-3.255,0.198,-1.277,0.372,0.026,,,,,,,,,,,,,,,,,,
Cape Point,1.285,2.552,2.397,1.836,1.864,-0.639,-2,-1.196,1.575,3.233,3.142,4.233,1.392,4.127,2.907,4.294,3.776,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,2.423,3.925,4.491,4.173,4.132,7.13,9.283,8.168,5.288,2.743,2.794,1.941,6.446,2.041,3.458,1.785,1.976,,,,,,,,,,,,,,,,,,
Upington,4.828,3.469,4.038,4.954,4.913,7.926,10.15,8.985,6.093,4.205,4.446,2.223,9.129,2.296,3.411,2.191,2.75,,,,,,,,,,,,,,,,,,
De Aar,10.103,10.103,4.288,5.122,5.076,8.12,10.964,9.566,6.67,4.158,4.491,2.554,9.722,2.602,3.399,2.398,2.443,,,,,,,,,,,,,,,,,,
Bethlehem,3.773,7.782,2.871,3.576,3.542,6.645,8.246,7.272,5.207,2.657,2.738,1.269,7.077,1.366,2.432,1.174,1.523,,,,,,,,,,,,,,,,,,
Mahikeng,3.818,4.474,3.457,4.406,4.361,7.751,10.074,8.815,6.506,3.976,4.015,1.811,11.189,1.921,2.803,1.611,1.75,,,,,,,,,,,,,,,,,,
Irene,4.773,4.656,3.984,4.088,4.071,5.01,6.614,5.834,4.559,3.8,3.957,3.153,9.247,3.173,3.483,3.09,3.149,,,,,,,,,,,,,,,,,,
Pretoria,4.892,5.412,4.215,4.37,4.333,6.682,9.014,7.859,5.137,3.48,3.596,2.084,9.814,2.154,3.334,1.946,2.251,,,,,,,,,,,,,,,,,,
Thohoyandou,1.913,2.034,2.445,2.519,2.497,4.638,5.727,5.02,3.114,2.105,2.042,1.121,6.054,1.184,2.071,0.994,1.284,,,,,,,,,,,,,,,,,,
Nelspruit,2.061,2.227,3.039,3.609,3.574,6.927,8.525,7.513,5.208,2.932,2.94,1.195,9.634,1.347,2.616,1.016,1.402,,,,,,,,,,,,,,,,,,
Durban,1.348,1.677,2.415,2.133,2.116,3.698,4.711,4.102,2.267,1.472,1.385,1.05,3.566,1.093,1.999,0.945,1.173,,,,,,,,,,,,,,,,,,
Mthatha,2.877,2.626,3.3,3.357,3.336,3.913,5.802,4.992,4.006,3.101,3.114,2.286,5.922,2.282,2.652,2.227,2.309,,,,,,,,,,,,,,,,,,
George,2.408,3.163,3.336,3.462,3.431,6.416,7.882,6.966,4.035,2.143,2.091,1.289,5.967,1.395,2.789,1.111,1.559,,,,,,,,,,,,,,,,,,
Stellenboch,2.393,2.529,2.766,2.465,2.442,4.334,5.677,4.931,3.319,2.097,2.115,1.37,4.014,1.412,2.096,1.231,1.133,,,,,,,,,,,,,,,,,,
Cape Point,3.01,3.187,3.189,3.239,3.239,2.606,3.913,3.423,4.181,4.275,4.285,4.528,4.081,4.427,3.308,4.598,4.053,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.62,4.09,3.42,3.68,3.65,5.84,7.61,6.67,4.69,3.08,3.14,1.99,7.28,2.05,2.85,1.88,2.05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,1.795,2.908,3.327,3.092,3.061,5.283,6.878,6.052,3.918,2.032,2.07,1.438,4.776,1.512,2.562,1.323,1.464,,,,,,,,,,,,,,,,,,
Upington,3.378,2.427,2.826,3.466,3.437,5.546,7.102,6.287,4.263,2.942,3.111,1.555,6.387,1.607,2.387,1.533,1.924,,,,,,,,,,,,,,,,,,
De Aar,6.434,6.434,2.731,3.262,3.233,5.172,6.983,6.093,4.248,2.648,2.861,1.627,6.192,1.657,2.165,1.527,1.556,,,,,,,,,,,,,,,,,,
Bethlehem,2.798,5.771,2.129,2.651,2.627,4.928,6.115,5.392,3.862,1.971,2.03,0.941,5.248,1.013,1.803,0.87,1.129,,,,,,,,,,,,,,,,,,
Mahikeng,2.45,2.87,2.218,2.827,2.798,4.973,6.463,5.656,4.174,2.551,2.576,1.162,7.178,1.232,1.798,1.034,1.123,,,,,,,,,,,,,,,,,,
Irene,4.94,4.819,4.123,4.23,4.213,5.185,6.845,6.037,4.718,3.933,4.095,3.263,9.569,3.284,3.605,3.198,3.259,,,,,,,,,,,,,,,,,,
Pretoria,3.936,4.354,3.392,3.516,3.486,5.376,7.253,6.323,4.133,2.8,2.893,1.677,7.896,1.733,2.682,1.566,1.811,,,,,,,,,,,,,,,,,,
Thohoyandou,1.845,1.962,2.358,2.43,2.409,4.474,5.524,4.842,3.003,2.03,1.969,1.081,5.84,1.142,1.998,0.959,1.238,,,,,,,,,,,,,,,,,,
Nelspruit,1.437,1.552,2.119,2.516,2.492,4.828,5.942,5.237,3.63,2.044,2.049,0.833,6.716,0.939,1.823,0.708,0.978,,,,,,,,,,,,,,,,,,
Durban,1.615,2.01,2.895,2.556,2.536,4.432,5.647,4.916,2.717,1.764,1.66,1.259,4.275,1.31,2.396,1.133,1.407,,,,,,,,,,,,,,,,,,
Mthata,4.039,3.687,4.634,4.713,4.685,5.495,8.147,7.009,5.625,4.354,4.373,3.209,8.315,3.204,3.723,3.128,3.242,,,,,,,,,,,,,,,,,,
George,1.879,2.468,2.602,2.701,2.677,5.006,6.149,5.435,3.148,1.672,1.631,1.006,4.655,1.088,2.176,0.867,1.216,,,,,,,,,,,,,,,,,,
Stellenboch,2.446,2.585,2.827,2.52,2.496,4.431,5.803,5.04,3.392,2.144,2.162,1.401,4.103,1.443,2.143,1.258,1.158,,,,,,,,,,,,,,,,,,
Cape Point,2.824,2.99,2.992,3.039,3.039,2.445,3.671,3.211,3.923,4.01,4.02,4.248,3.829,4.153,3.104,4.314,3.803,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,4.712,6.229,6.886,7.367,7.309,9.877,14.027,12.234,9.12,5.677,5.748,4.319,13.964,4.415,5.427,4.222,4.363,,,,,,,,,,,,,,,,,,
