DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Alexandra Bay,-40.78,-30.38,-51.55,-86.74,-87.29,-98.35,-42.76,-106.78,-53.01,-39.28,-44.01,-82.61,-32.11,-96.61,-49.65,-52.04,-70.28,,40.78,30.38,51.55,86.74,87.29,98.35,42.76,106.78,53.01,39.28,44.01,82.61,32.11,96.61,49.65,52.04,70.28
Upington,-8.75,-16.5,-36.82,-61.29,-61.61,-73.96,-10.03,-57.04,-46.77,-53.27,-8.95,-75.93,-13.66,-71.28,-43.11,-54.39,-40.44,,8.75,16.5,36.82,61.29,61.61,73.96,10.03,57.04,46.77,53.27,8.95,75.93,13.66,71.28,43.11,54.39,40.44
De Aar,-5.55,-5.55,-24.77,-71.29,-71.6,-84.17,-19.83,-65.46,-41.16,-52.07,1.29,-65.89,-23.33,-74.15,-33.73,-44.99,-37.16,,5.55,5.55,24.77,71.29,71.6,84.17,19.83,65.46,41.16,52.07,1.29,65.89,23.33,74.15,33.73,44.99,37.16
Bethlehem,-22.02,12.6,1.62,-35.29,-35.73,-47.54,9.7,-43.56,-19.68,-22.07,-27.44,-35.47,12.7,-45.21,-1.26,-12.61,-24.01,,22.02,12.6,1.62,35.29,35.73,47.54,9.7,43.56,19.68,22.07,27.44,35.47,12.7,45.21,1.26,12.61,24.01
Mahikeng,16.02,5.67,10.03,-10,-10.43,-22.34,37.11,-18.52,-5.61,-3.24,-13.19,-24.88,40.87,-22.44,8.27,-1.65,-0.59,,16.02,5.67,10.03,10,10.43,22.34,37.11,18.52,5.61,3.24,13.19,24.88,40.87,22.44,8.27,1.65,0.59
Irene,-15.57,-10.66,-5.89,-24.71,-25.19,-36.76,19.61,-39.01,-20.18,-15.9,9.66,-43.06,31.58,-35.03,-9.7,-17.72,-12.29,,15.57,10.66,5.89,24.71,25.19,36.76,19.61,39.01,20.18,15.9,9.66,43.06,31.58,35.03,9.7,17.72,12.29
Pretoria,-37.46,-33.33,-29.25,-60.68,-61.23,-73.03,-19.2,-82.25,-61.22,-53.7,-38.97,-62.73,-1.96,-70.08,-28.99,-35.22,-52.8,,37.46,33.33,29.25,60.68,61.23,73.03,19.2,82.25,61.22,53.7,38.97,62.73,1.96,70.08,28.99,35.22,52.8
Thohoyandou,-9.19,-9.06,1.92,-23.43,-23.99,-35.09,16.89,-44.54,-6.36,20.92,-16.92,-30.49,36.65,-32.59,3.17,-2.86,-14.08,,9.19,9.06,1.92,23.43,23.99,35.09,16.89,44.54,6.36,20.92,16.92,30.49,36.65,32.59,3.17,2.86,14.08
Nelspruit,32.26,32.24,40.8,14.14,13.56,2.72,53.72,-9.77,28.71,38.84,-13.9,6.75,71.17,3.65,42,33.97,18.47,,32.26,32.24,40.8,14.14,13.56,2.72,53.72,9.77,28.71,38.84,13.9,6.75,71.17,3.65,42,33.97,18.47
Durban,-12.87,4.85,23.6,-9.72,-10.35,-24.55,26.18,-41.07,17.31,51.42,-33.97,-8.19,63.56,-13.68,27.71,23.23,-2.99,,12.87,4.85,23.6,9.72,10.35,24.55,26.18,41.07,17.31,51.42,33.97,8.19,63.56,13.68,27.71,23.23,2.99
