DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Alexandra Bay,4.35,10.58,11.69,7.7,7.6,14.39,19.17,16.7,9.79,3.88,4.31,2.78,10.49,2.96,8.2,2.14,2.85,,4.35,10.58,11.69,7.7,7.6,14.39,19.17,16.7,9.79,3.88,4.31,2.78,10.49,2.96,8.2,2.14,2.85
Upington,9.24,4.78,6.11,5.62,5.53,11.79,15.96,13.74,7,2.88,3.28,-0.17,9.94,0.06,3.88,-0.23,1.43,,9.24,4.78,6.11,5.62,5.53,11.79,15.96,13.74,7,2.88,3.28,0.17,9.94,0.06,3.88,0.23,1.43
De Aar,18.02,18.02,9.2,7.5,7.4,14.4,19.68,17.02,9.86,3.86,4.79,1.19,12.79,1.43,6.21,0.87,1.85,,18.02,18.02,9.2,7.5,7.4,14.4,19.68,17.02,9.86,3.86,4.79,1.19,12.79,1.43,6.21,0.87,1.85
Bethlehem,6.62,12.08,4.99,4.86,4.8,10.3,13.13,11.38,6.62,2.18,2.29,0.49,8.54,0.72,3.78,0.3,1.3,,6.62,12.08,4.99,4.86,4.8,10.3,13.13,11.38,6.62,2.18,2.29,0.49,8.54,0.72,3.78,0.3,1.3
Mahikeng,8.13,8.69,6.3,6.67,6.59,12.46,16.2,14.13,8.74,4.25,4.36,1.27,13.94,1.55,4.86,0.91,2.15,,8.13,8.69,6.3,6.67,6.59,12.46,16.2,14.13,8.74,4.25,4.36,1.27,13.94,1.55,4.86,0.91,2.15
Irene,6.45,6.6,3.39,-1.63,-1.7,1.91,6.74,4.46,0.97,-2.71,-0.9,-4.32,6.08,-4.32,-0.16,-4.6,-4.44,,6.45,6.6,3.39,1.63,1.7,1.91,6.74,4.46,0.97,2.71,0.9,4.32,6.08,4.32,0.16,4.6,4.44
Pretoria,8.24,11.44,8.03,5.17,5.09,10.44,14.87,12.61,6.38,2.11,2.56,0.88,11.85,0.96,5.18,0.17,0.86,,8.24,11.44,8.03,5.17,5.09,10.44,14.87,12.61,6.38,2.11,2.56,0.88,11.85,0.96,5.18,0.17,0.86
Thohoyandou,3.88,4.72,5.12,3.22,3.18,7.5,9.49,8.15,3.75,1.71,1.8,0.78,7.35,0.87,3.89,0.49,1.27,,3.88,4.72,5.12,3.22,3.18,7.5,9.49,8.15,3.75,1.71,1.8,0.78,7.35,0.87,3.89,0.49,1.27
Nelspruit,5,4.87,6,5.76,5.7,11.16,13.73,12.08,7.28,3.6,3.48,1.71,12.24,1.97,5,1.37,2.35,,5,4.87,6,5.76,5.7,11.16,13.73,12.08,7.28,3.6,3.48,1.71,12.24,1.97,5,1.37,2.35
Durban,2.02,2.98,5.38,2.99,2.95,6.64,8.82,7.46,2.98,0.86,0.92,0.88,5.24,0.92,3.97,0.41,1.02,,2.02,2.98,5.38,2.99,2.95,6.64,8.82,7.46,2.98,0.86,0.92,0.88,5.24,0.92,3.97,0.41,1.02
