DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,
Alexandra Bay,8.34,1.66,14.18,13.46,10.13,17.43,26.48,10.15,15.93,30.54,-5.93,35.66,28.55,28.84,33.97,4.58,35.82,,,,,,
Upington,4.25,11.27,22.59,26.19,2.89,34.6,34.12,30.45,28.09,41.63,-0.1,40.95,31.99,32.16,37.95,8.27,25.74,,,,,,
De Aar,-0.64,-0.64,11.37,15.72,-1.27,25.56,23.38,29.84,20.84,30.79,-6.05,31.09,25.15,25.3,30.75,2.94,16.31,,,,,,
Bethlehem,-2.45,-22.93,-14.33,-12.49,4.17,0.54,8,8.07,-0.15,1.41,-45.18,0.06,-11.24,-11.04,-6.89,-29.78,-13.39,,,,,,
Mahikeng,2.55,9.02,9.26,8.77,19.7,15.7,17.7,16.36,16.7,19.64,-18.05,17.66,8.84,9,12.42,-7.73,8.29,,,,,,
Irene,-1.76,-4.35,-4,-1.87,-4.63,12.74,13.96,13.71,8.16,14.4,-46.71,4.46,-5.1,-4.86,-0.01,-25.01,-4.65,,,,,,
Pretoria,-1.24,-3.83,-2.99,-1.81,3.78,11.44,20.46,15.81,11.61,13.15,-39.72,9.03,-0.38,-0.14,3.88,-19.39,2.53,,,,,,
Thohoyandou,-0.21,-1.43,-7.06,-6.33,4.19,6.93,10.95,-9.59,-6.35,8.66,-46.11,0.59,-7.98,-7.74,-4.25,-23.91,-5.86,,,,,,
Nelspruit,1.19,1.82,-2.7,-1.36,15.15,-33.26,15.29,2.69,3.42,10.7,-38.21,7,-3.29,-3.07,-1.15,-19.75,-0.06,,,,,,
Durban,12.6,3.72,-8.53,-6.96,17.92,3.91,16.38,-14.56,-3.69,7.54,-46.75,5.42,-1.19,-0.9,2.87,-19.13,8.55,,,,,,
Mthatha,5.13,17.41,6.09,7.01,19.22,21.23,34.59,11.32,11.16,22.57,-32.41,20,7.03,7.32,11.54,-9.43,13.82,,,,,,
George,3.35,-1.35,-2.49,0.1,6.36,10.4,14.73,-2.01,-5.22,13.25,-27.78,11.48,3.04,3.26,5.92,-13.65,5.87,,,,,,
Stellenboch,-1.48,9.32,8.77,10.24,5.88,18.57,23.13,3.43,6.87,25.92,-16.44,23.92,16.53,16.79,20.72,-2.1,21.57,,,,,,
Cape Point,3.11,-3.3,-7.11,-2.71,-6.4,8.62,9.07,5.44,-7.12,8.52,-29.67,8.28,-4.17,-4.03,-0.56,-22.92,-11.46,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rMBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,
Alexandra Bay,8.22,1.63,13.97,13.27,9.98,17.18,26.09,10.01,15.7,30.09,-5.85,35.14,28.13,28.41,33.47,4.51,35.3,,,,,,
Upington,4.38,11.63,23.315,27.03,2.982,35.7,35.213,31.422,28.987,42.955,-0.103,42.252,33.006,33.183,39.166,8.531,26.564,,,,,,
De Aar,-0.61,-0.61,10.875,15.04,-1.21,24.45,22.36,28.54,19.93,29.44,-5.79,29.74,24.05,24.19,29.41,2.81,15.6,,,,,,
Bethlehem,-1.59,-14.889,-9.305,-8.111,2.706,0.349,5.197,5.238,-0.098,0.918,-29.337,0.037,-7.298,-7.166,-4.473,-19.339,-8.693,,,,,,
Mahikeng,3.324,6.911,7.091,11.446,25.715,20.493,23.099,21.354,21.792,25.627,-23.558,23.047,11.532,11.745,16.21,-10.09,10.82,,,,,,
Irene,-1.183,-2.926,-2.692,-1.255,-3.112,8.568,9.387,9.218,5.488,9.682,-31.414,2.998,-3.431,-3.271,-0.004,-16.817,-3.13,,,,,,
Pretoria,-0.84,-2.586,-2.021,-1.22,2.552,7.729,13.817,10.677,7.838,8.881,-26.824,6.096,-0.259,-0.093,2.618,-13.097,1.706,,,,,,
Thohoyandou,-0.137,-0.939,-4.646,-4.163,2.754,4.559,7.205,-6.314,-4.182,5.699,-30.345,0.388,-5.249,-5.093,-2.796,-15.736,-3.854,,,,,,
Nelspruit,0.756,1.16,-1.722,-0.866,9.669,-21.228,9.755,1.719,2.181,6.829,-24.383,4.467,-2.102,-1.959,-0.732,-12.604,-0.039,,,,,,
Durban,8.3,2.453,-5.619,-4.583,11.804,2.573,10.795,-9.595,-2.432,4.97,-30.804,3.571,-0.782,-0.594,1.888,-12.605,5.636,,,,,,
Mthatha,3.771,12.806,4.476,5.156,14.134,15.615,25.439,8.323,8.208,16.598,-23.837,14.712,5.174,5.384,8.489,-6.939,10.162,,,,,,
George,2.458,-0.988,-1.829,0.074,4.669,7.628,10.806,-1.471,-3.833,9.722,-20.383,8.422,2.228,2.389,4.342,-10.014,4.303,,,,,,
Stellenboch,-1.258,7.945,7.478,8.73,5.016,15.836,19.726,2.926,5.862,22.103,-14.019,20.402,14.101,14.32,17.675,-1.792,18.395,,,,,,
Cape Point,2.18,-2.317,-4.994,-1.9,-4.49,6.06,6.37,3.82,-5,5.98,-20.84,5.81,-2.93,-2.83,-0.39,-16.1,-8.05,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,
Alexandra Bay,25.82,24.97,32.457,30.59,32.49,28.43,36.47,30.31,38.95,42.48,32.35,50.76,48.49,48.7,52.96,31.17,56.89,,,,,,
Upington,30.079,33.23,40.326,43.823,32.872,44.49,44.462,44.763,47.147,54.221,42.151,57.774,55.007,55.105,59.491,38.11,54.351,,,,,,
De Aar,29.71,29.71,35.122,38.2,31.45,38.62,37.24,46.3,45.09,48.3,45.2,53.74,55.14,55.21,59.33,39.52,54.37,,,,,,
Bethlehem,49.482,49.197,46.6,49.136,51.353,44.026,49.072,50.746,54.798,52.862,66.066,58.779,59.924,59.973,61.503,55.804,66.91,,,,,,
Mahikeng,34.331,37.951,37.197,39.536,45.419,37.64,40.849,43.923,51.255,45.446,46.644,49.436,47.859,47.944,51.101,39.671,53.124,,,,,,
Irene,44.448,44.105,43.454,46.063,44.553,41.74,40.426,48.735,53.297,49.1,61.312,49.898,51.736,51.787,52.951,50.055,58.498,,,,,,
Pretoria,35.639,35.768,34.924,36.849,38.343,32.897,38.373,44.102,49.014,41.276,54.465,45.975,47.329,47.413,49.199,44.519,55.859,,,,,,
Thohoyandou,33.697,34.547,33.634,33.458,33.015,29.516,32.143,35.449,42.459,37.117,55.588,41.219,44.317,44.399,45.972,43.31,53.943,,,,,,
Nelspruit,31.894,32.6,31.712,32.694,40.491,40.919,33.032,34.801,42.092,35.898,49.91,39.395,40.884,40.957,43.366,39.778,49.428,,,,,,
Durban,38.953,36.007,33.469,33.732,43.561,29.022,36.328,33.545,42.03,38.456,54.328,42.751,46.377,46.475,48.867,43.608,54.581,,,,,,
Mthatha,43.455,48.72,43.673,43.306,48.36,38.967,51.993,44.47,54.596,51.234,56.608,58.028,56.915,57.064,58.998,50.158,68.448,,,,,,
George,29.899,29.497,30.432,30.348,32.284,26.526,31.459,29.573,35.74,36.223,44.132,41.999,44.496,44.589,47.352,38.942,51.954,,,,,,
Stellenboch,26.302,31.671,33.026,33.042,29.405,30.999,37.365,31.346,38.877,42.428,40.257,48.107,48.181,48.339,51.333,37.935,57.582,,,,,,
Cape Point,37.27,34.861,35.929,36.95,34.25,34.36,35.95,39.29,39.13,39.38,48.13,43.97,46.09,46.09,48,42.5,45.04,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,35,36,37,38,38,36,39,40,45,44,50,49,49,50,52,43,56,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site
Alexandra Bay,25.45,24.6,31.983,30.15,32.01,28.01,35.93,29.87,38.38,41.86,31.88,50.02,47.78,47.98,52.18,30.72,56.06,,7,,7,,-1
Upington,31.039,34.29,41.614,45.223,33.921,45.91,45.881,46.192,48.653,55.952,43.497,59.618,56.764,56.865,61.39,39.327,56.086,,11,,7,,3
De Aar,28.41,28.414,33.59,36.54,30.08,36.93,35.61,44.28,43.12,46.19,43.23,51.4,52.74,52.8,56.75,37.8,52,,5,,5,,0
Bethlehem,32.134,31.949,30.263,31.909,33.349,28.591,31.868,32.955,35.586,34.329,42.904,38.171,38.915,38.947,39.941,36.239,43.452,,-2,,-2,,0
Mahikeng,26.305,29.079,28.501,30.294,34.801,28.84,31.3,33.655,39.273,34.822,35.74,37.879,36.671,36.736,39.155,30.397,40.705,,2,,-1,,3
Irene,29.893,29.662,29.224,30.978,29.963,28.071,27.187,32.776,35.844,33.021,41.234,33.558,34.794,34.829,35.611,33.664,39.342,,-1,,0,,0
Pretoria,24.07,24.157,23.587,24.887,25.896,22.218,25.916,29.785,33.103,27.877,36.784,31.051,31.965,32.021,33.228,30.067,37.725,,0,,-1,,0
Thohoyandou,22.176,22.736,22.135,22.019,21.728,19.425,21.154,23.33,27.943,24.427,36.583,27.127,29.166,29.22,30.255,28.503,35.5,,0,,-1,,1
Nelspruit,20.355,20.81,20.239,20.866,25.842,26.115,21.082,22.21,26.864,22.911,31.853,25.142,26.093,26.14,27.677,25.387,31.546,,0,,-1,,0
Durban,25.666,23.725,22.053,22.226,28.703,19.123,23.937,22.103,27.694,25.339,35.797,28.169,30.558,30.623,32.199,28.733,35.964,,-4,,-2,,-2
Mthata,31.963,35.836,32.123,31.853,35.571,28.662,38.243,32.71,40.158,37.685,41.638,42.682,41.864,41.973,43.396,36.893,50.347,,0,,-4,,4
George,21.935,21.64,22.326,22.264,23.684,19.46,23.079,21.696,26.22,26.574,32.377,30.812,32.644,32.712,34.74,28.57,38.115,,0,,1,,0
Stellenboch,22.432,27.012,28.167,28.181,25.079,26.438,31.868,26.735,33.158,36.187,34.334,41.03,41.093,41.228,43.781,32.354,49.111,,6,,1,,5
