DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,
Alexandra Bay,-27.09,-11.54,-30,-34.91,-20.22,-50.81,-65.48,-26.33,-24.92,-67.46,-7.73,-70.5,-68.16,-68.66,-76.8,-30.69,-83.28,,,,,,,,
Upington,-0.19,-15.11,-32.48,-43.76,-8.47,-65.63,-61.96,-47.54,-33.13,-73.1,1.16,-64.22,-50.09,-50.44,-59.51,-11.62,-46.34,,,,,,,,
De Aar,10.36,10.36,-9.11,-21.2,23.18,-44.56,-36.99,-34.74,-12.07,-50.31,16.4,-42.34,-37.96,-38.28,-47.27,-0.95,-31.97,,,,,,,,
Bethlehem,9.65,37.33,28.2,20.45,-0.97,-7.08,-21.78,-2.34,15.55,-6.38,62.63,-3.12,9.44,9.06,2.7,40.27,7.93,,,,,,,,
Mahikeng,28.7,15.23,12.53,3.65,-9.93,-18.55,-20.94,-5.06,5.01,-22.64,55.98,-13.32,1.98,1.59,-5.15,36.11,-0.27,,,,,,,,
Irene,9.3,13.93,11.94,1.75,27.38,-28.25,-29.86,-11.88,2.57,-28.11,65.34,-10.2,-4.16,-4.58,-11.78,28.74,-9.3,,,,,,,,
Pretoria,-4.51,2.62,-0.25,-8.29,-7.17,-35.71,-52.66,-28.05,-16.19,-36.52,40.86,-30.06,-23.67,-24.1,-29.96,7.69,-31.64,,,,,,,,
Thohoyandou,9.92,12.97,21.05,15.01,2.83,-12.36,-23.18,22.89,23.67,-13.1,64.78,-1.25,3.74,3.34,-1.65,30.37,-2.38,,,,,,,,
Nelspruit,28.67,27.45,32.97,26.86,-2.09,79.39,-6.65,24.88,30.35,4.86,73.61,10.43,22.48,22.11,19.24,49.04,15.84,,,,,,,,
Durban,5.68,19.58,40.2,31.14,3.37,6.21,-15.41,45,36.22,3.83,85.49,8.08,9.39,8.91,3.45,38.96,-6.09,,,,,,,,
